Domain Code,Domain,Area Code (FAO),Area,ISO Currency Code (FAO),Currency,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
PE,Exchange rates - Annual,2,Afghanistan,AFN,Afghani,5540,Standard local currency units per USD,2016,2016,,67.86608577,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,2,Afghanistan,AFN,Afghani,5540,Standard local currency units per USD,2017,2017,,68.02690408,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,2,Afghanistan,AFN,Afghani,5540,Standard local currency units per USD,2018,2018,,72.08324718,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,3,Albania,ALL,Lek,5540,Standard local currency units per USD,2016,2016,,124.1408715,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,3,Albania,ALL,Lek,5540,Standard local currency units per USD,2017,2017,,119.0996667,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,3,Albania,ALL,Lek,5540,Standard local currency units per USD,2018,2018,,107.9891667,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,4,Algeria,DZD,Algerian Dinar,5540,Standard local currency units per USD,2016,2016,,109.4430667,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,4,Algeria,DZD,Algerian Dinar,5540,Standard local currency units per USD,2017,2017,,110.9730167,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,4,Algeria,DZD,Algerian Dinar,5540,Standard local currency units per USD,2018,2018,,116.5937917,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,6,Andorra,EUR,Euro,5540,Standard local currency units per USD,2016,2016,,0.904035128,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,6,Andorra,EUR,Euro,5540,Standard local currency units per USD,2017,2017,,0.885205508,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,6,Andorra,EUR,Euro,5540,Standard local currency units per USD,2018,2018,,0.846772667,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,7,Angola,AOA,Kwanza,5540,Standard local currency units per USD,2016,2016,,163.6564341,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,7,Angola,AOA,Kwanza,5540,Standard local currency units per USD,2017,2017,,165.9159507,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,7,Angola,AOA,Kwanza,5540,Standard local currency units per USD,2018,2018,,252.8557477,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,258,Anguilla,XCD,East Caribbean Dollar,5540,Standard local currency units per USD,2016,2016,,2.7,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,258,Anguilla,XCD,East Caribbean Dollar,5540,Standard local currency units per USD,2017,2017,,2.7,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,258,Anguilla,XCD,East Caribbean Dollar,5540,Standard local currency units per USD,2018,2018,,2.7,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,8,Antigua and Barbuda,XCD,East Caribbean Dollar,5540,Standard local currency units per USD,2016,2016,,2.7,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,8,Antigua and Barbuda,XCD,East Caribbean Dollar,5540,Standard local currency units per USD,2017,2017,,2.7,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,8,Antigua and Barbuda,XCD,East Caribbean Dollar,5540,Standard local currency units per USD,2018,2018,,2.7,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,9,Argentina,ARS,Argentine Peso,5540,Standard local currency units per USD,2016,2016,,14.75817509,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,9,Argentina,ARS,Argentine Peso,5540,Standard local currency units per USD,2017,2017,,16.56270693,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,9,Argentina,ARS,Argentine Peso,5540,Standard local currency units per USD,2018,2018,,28.09499167,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,1,Armenia,AMD,Armenian Dram,5540,Standard local currency units per USD,2016,2016,,480.4881508,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,1,Armenia,AMD,Armenian Dram,5540,Standard local currency units per USD,2017,2017,,482.7163939,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,1,Armenia,AMD,Armenian Dram,5540,Standard local currency units per USD,2018,2018,,482.9879466,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,22,Aruba,AWG,Aruban Florin,5540,Standard local currency units per USD,2016,2016,,1.79,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,22,Aruba,AWG,Aruban Florin,5540,Standard local currency units per USD,2017,2017,,1.79,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,22,Aruba,AWG,Aruban Florin,5540,Standard local currency units per USD,2018,2018,,1.79,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,10,Australia,AUD,Australian Dollar,5540,Standard local currency units per USD,2016,2016,,1.345213976,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,10,Australia,AUD,Australian Dollar,5540,Standard local currency units per USD,2017,2017,,1.304758077,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,10,Australia,AUD,Australian Dollar,5540,Standard local currency units per USD,2018,2018,,1.338412147,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,11,Austria,EUR,Euro,5540,Standard local currency units per USD,2016,2016,,0.904035128,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,11,Austria,EUR,Euro,5540,Standard local currency units per USD,2017,2017,,0.885205508,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,11,Austria,EUR,Euro,5540,Standard local currency units per USD,2018,2018,,0.846772667,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,52,Azerbaijan,AZN,Azerbaijanian Manat,5540,Standard local currency units per USD,2016,2016,,1.595721573,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,52,Azerbaijan,AZN,Azerbaijanian Manat,5540,Standard local currency units per USD,2017,2017,,1.721154802,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,52,Azerbaijan,AZN,Azerbaijanian Manat,5540,Standard local currency units per USD,2018,2018,,1.700016667,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,12,Bahamas,BSD,Bahamian Dollar,5540,Standard local currency units per USD,2016,2016,,1,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,12,Bahamas,BSD,Bahamian Dollar,5540,Standard local currency units per USD,2017,2017,,1,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,12,Bahamas,BSD,Bahamian Dollar,5540,Standard local currency units per USD,2018,2018,,1,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,13,Bahrain,BHD,Bahraini Dinar,5540,Standard local currency units per USD,2016,2016,,0.376,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,13,Bahrain,BHD,Bahraini Dinar,5540,Standard local currency units per USD,2017,2017,,0.376,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,13,Bahrain,BHD,Bahraini Dinar,5540,Standard local currency units per USD,2018,2018,,0.376,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,16,Bangladesh,BDT,Taka,5540,Standard local currency units per USD,2016,2016,,78.65361667,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,16,Bangladesh,BDT,Taka,5540,Standard local currency units per USD,2017,2017,,80.43754167,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,16,Bangladesh,BDT,Taka,5540,Standard local currency units per USD,2018,2018,,83.46620192,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,14,Barbados,BBD,Barbados Dollar,5540,Standard local currency units per USD,2016,2016,,2,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,14,Barbados,BBD,Barbados Dollar,5540,Standard local currency units per USD,2017,2017,,2,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,14,Barbados,BBD,Barbados Dollar,5540,Standard local currency units per USD,2018,2018,,2,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,57,Belarus,BYR,Belarusian Ruble,5540,Standard local currency units per USD,2016,2016,,1.989562833,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,57,Belarus,BYR,Belarusian Ruble,5540,Standard local currency units per USD,2017,2017,,1.932341667,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,57,Belarus,BYR,Belarusian Ruble,5540,Standard local currency units per USD,2018,2018,,2.037608333,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,255,Belgium,EUR,Euro,5540,Standard local currency units per USD,2016,2016,,0.904035128,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,255,Belgium,EUR,Euro,5540,Standard local currency units per USD,2017,2017,,0.885205508,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,255,Belgium,EUR,Euro,5540,Standard local currency units per USD,2018,2018,,0.846772667,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,23,Belize,BZD,Belize Dollar,5540,Standard local currency units per USD,2016,2016,,2,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,23,Belize,BZD,Belize Dollar,5540,Standard local currency units per USD,2017,2017,,2,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,23,Belize,BZD,Belize Dollar,5540,Standard local currency units per USD,2018,2018,,2,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,53,Benin,XOF,CFA Franc BCEAO,5540,Standard local currency units per USD,2016,2016,,592.6056151,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,53,Benin,XOF,CFA Franc BCEAO,5540,Standard local currency units per USD,2017,2017,,580.6567496,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,53,Benin,XOF,CFA Franc BCEAO,5540,Standard local currency units per USD,2018,2018,,555.4464584,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,17,Bermuda,BMD,Bermudian Dollar,5540,Standard local currency units per USD,2016,2016,,1,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,17,Bermuda,BMD,Bermudian Dollar,5540,Standard local currency units per USD,2017,2017,,1,X,International reliable sources,Data from UNSD AMA
