Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FDI","Foreign Direct Investment (FDI)","2","Afghanistan","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","93.59","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","2","Afghanistan","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","53.39","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","2","Afghanistan","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","119.44","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","3","Albania","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","1100.671891","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","3","Albania","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","1148.891224","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","3","Albania","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","1289.690235","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","4","Algeria","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","1636.299236","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","4","Algeria","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","1232.341924","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","4","Algeria","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","1466.084654","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","7","Angola","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","-179.517619","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","7","Angola","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","-7397.295409","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","7","Angola","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","-6456.076413","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","258","Anguilla","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","60.253704","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","258","Anguilla","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","53.534815","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","258","Anguilla","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","55.784444","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","8","Antigua and Barbuda","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","80.641481","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","8","Antigua and Barbuda","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","112.936667","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","8","Antigua and Barbuda","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","116.493704","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","9","Argentina","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","3260.164342","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","9","Argentina","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","11516.861462","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","9","Argentina","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","11872.856663","X","International reliable sources","UNCTAD"
