Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","2","Afghanistan","6119","Value US$ per capita","22008","Gross Domestic Product","2016","2016","US$","509.782123","X","International reliable sources",""
"MK","Macro Indicators","2","Afghanistan","6119","Value US$ per capita","22008","Gross Domestic Product","2017","2017","US$","513.085978","X","International reliable sources",""
"MK","Macro Indicators","2","Afghanistan","6119","Value US$ per capita","22008","Gross Domestic Product","2018","2018","US$","483.885875","X","International reliable sources",""
"MK","Macro Indicators","3","Albania","6119","Value US$ per capita","22008","Gross Domestic Product","2016","2016","US$","4109.340457","X","International reliable sources",""
"MK","Macro Indicators","3","Albania","6119","Value US$ per capita","22008","Gross Domestic Product","2017","2017","US$","4514.204908","X","International reliable sources",""
"MK","Macro Indicators","3","Albania","6119","Value US$ per capita","22008","Gross Domestic Product","2018","2018","US$","5254.384798","X","International reliable sources",""
"MK","Macro Indicators","4","Algeria","6119","Value US$ per capita","22008","Gross Domestic Product","2016","2016","US$","3946.45421","X","International reliable sources",""
"MK","Macro Indicators","4","Algeria","6119","Value US$ per capita","22008","Gross Domestic Product","2017","2017","US$","4109.701336","X","International reliable sources",""
"MK","Macro Indicators","4","Algeria","6119","Value US$ per capita","22008","Gross Domestic Product","2018","2018","US$","4153.95722","X","International reliable sources",""
"MK","Macro Indicators","6","Andorra","6119","Value US$ per capita","22008","Gross Domestic Product","2016","2016","US$","37448.36389","X","International reliable sources",""
"MK","Macro Indicators","6","Andorra","6119","Value US$ per capita","22008","Gross Domestic Product","2017","2017","US$","38962.613799","X","International reliable sources",""
"MK","Macro Indicators","6","Andorra","6119","Value US$ per capita","22008","Gross Domestic Product","2018","2018","US$","41794.398572","X","International reliable sources",""
"MK","Macro Indicators","7","Angola","6119","Value US$ per capita","22008","Gross Domestic Product","2016","2016","US$","3506.071546","X","International reliable sources",""
"MK","Macro Indicators","7","Angola","6119","Value US$ per capita","22008","Gross Domestic Product","2017","2017","US$","4095.811686","X","International reliable sources",""
"MK","Macro Indicators","7","Angola","6119","Value US$ per capita","22008","Gross Domestic Product","2018","2018","US$","3289.643374","X","International reliable sources",""
"MK","Macro Indicators","258","Anguilla","6119","Value US$ per capita","22008","Gross Domestic Product","2016","2016","US$","22198.677227","X","International reliable sources",""
"MK","Macro Indicators","258","Anguilla","6119","Value US$ per capita","22008","Gross Domestic Product","2017","2017","US$","19488.092328","X","International reliable sources",""
"MK","Macro Indicators","258","Anguilla","6119","Value US$ per capita","22008","Gross Domestic Product","2018","2018","US$","21755.953633","X","International reliable sources",""
"MK","Macro Indicators","8","Antigua and Barbuda","6119","Value US$ per capita","22008","Gross Domestic Product","2016","2016","US$","15197.617455","X","International reliable sources",""
