Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","515","Apples","2016","2016","7021","Annual value","USD","381","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","526","Apricots","2016","2016","7021","Annual value","USD","732","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","44","Barley","2016","2016","7021","Annual value","USD","320","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","176","Beans, dry","2016","2016","7021","Annual value","USD","1662","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","414","Beans, green","2016","2016","7021","Annual value","USD","768","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","358","Cabbages and other brassicas","2016","2016","7021","Annual value","USD","202","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","426","Carrots and turnips","2016","2016","7021","Annual value","USD","377","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","393","Cauliflowers and broccoli","2016","2016","7021","Annual value","USD","761","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","531","Cherries","2016","2016","7021","Annual value","USD","1170","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","220","Chestnut","2016","2016","7021","Annual value","USD","1256","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","401","Chillies and peppers, green","2016","2016","7021","Annual value","USD","317","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","397","Cucumbers and gherkins","2016","2016","7021","Annual value","USD","482","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","577","Dates","2016","2016","7021","Annual value","USD","343","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","399","Eggplants (aubergines)","2016","2016","7021","Annual value","USD","488","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1062","Eggs, hen, in shell","2016","2016","7021","Annual value","USD","2946","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","569","Figs","2016","2016","7021","Annual value","USD","725","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","406","Garlic","2016","2016","7021","Annual value","USD","1624","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","560","Grapes","2016","2016","7021","Annual value","USD","562","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1182","Honey, natural","2016","2016","7021","Annual value","USD","11958","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","407","Leeks, other alliaceous vegetables","2016","2016","7021","Annual value","USD","245","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","497","Lemons and limes","2016","2016","7021","Annual value","USD","730","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2016","2016","7021","Annual value","USD","501","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","56","Maize","2016","2016","7021","Annual value","USD","290","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","945","Meat live weight, cattle","2016","2016","7021","Annual value","USD","3059","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1095","Meat live weight, chicken","2016","2016","7021","Annual value","USD","2412","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1033","Meat live weight, goat","2016","2016","7021","Annual value","USD","2097","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1056","Meat live weight, pig","2016","2016","7021","Annual value","USD","2788","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1013","Meat live weight, sheep","2016","2016","7021","Annual value","USD","2163","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1088","Meat live weight, turkey","2016","2016","7021","Annual value","USD","5161","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","568","Melons, other (inc.cantaloupes)","2016","2016","7021","Annual value","USD","361","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","882","Milk, whole fresh cow","2016","2016","7021","Annual value","USD","328","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1020","Milk, whole fresh goat","2016","2016","7021","Annual value","USD","451","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","982","Milk, whole fresh sheep","2016","2016","7021","Annual value","USD","651","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","234","Nuts nes","2016","2016","7021","Annual value","USD","3051","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","75","Oats","2016","2016","7021","Annual value","USD","329","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","260","Olives","2016","2016","7021","Annual value","USD","1448","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","403","Onions, dry","2016","2016","7021","Annual value","USD","319","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","402","Onions, shallots, green","2016","2016","7021","Annual value","USD","457","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","490","Oranges","2016","2016","7021","Annual value","USD","398","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","534","Peaches and nectarines","2016","2016","7021","Annual value","USD","604","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","521","Pears","2016","2016","7021","Annual value","USD","675","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","417","Peas, green","2016","2016","7021","Annual value","USD","666","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","536","Plums and sloes","2016","2016","7021","Annual value","USD","344","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","116","Potatoes","2016","2016","7021","Annual value","USD","293","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","394","Pumpkins, squash and gourds","2016","2016","7021","Annual value","USD","422","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","523","Quinces","2016","2016","7021","Annual value","USD","749","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","71","Rye","2016","2016","7021","Annual value","USD","431","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","236","Soybeans","2016","2016","7021","Annual value","USD","525","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","373","Spinach","2016","2016","7021","Annual value","USD","493","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","267","Sunflower seed","2016","2016","7021","Annual value","USD","840","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","495","Tangerines, mandarins, clementines, satsumas","2016","2016","7021","Annual value","USD","445","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","826","Tobacco, unmanufactured","2016","2016","7021","Annual value","USD","2292","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","388","Tomatoes","2016","2016","7021","Annual value","USD","446","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","567","Watermelons","2016","2016","7021","Annual value","USD","134","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","15","Wheat","2016","2016","7021","Annual value","USD","297","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","987","Wool, greasy","2016","2016","7021","Annual value","USD","437","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","515","Apples","2017","2017","7021","Annual value","USD","462","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","526","Apricots","2017","2017","7021","Annual value","USD","599","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","44","Barley","2017","2017","7021","Annual value","USD","304","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","176","Beans, dry","2017","2017","7021","Annual value","USD","1710","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","414","Beans, green","2017","2017","7021","Annual value","USD","849","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","358","Cabbages and other brassicas","2017","2017","7021","Annual value","USD","181","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","426","Carrots and turnips","2017","2017","7021","Annual value","USD","370","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","393","Cauliflowers and broccoli","2017","2017","7021","Annual value","USD","891","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","531","Cherries","2017","2017","7021","Annual value","USD","1347","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","220","Chestnut","2017","2017","7021","Annual value","USD","1640","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","397","Cucumbers and gherkins","2017","2017","7021","Annual value","USD","554","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","577","Dates","2017","2017","7021","Annual value","USD","346","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","399","Eggplants (aubergines)","2017","2017","7021","Annual value","USD","842","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1062","Eggs, hen, in shell","2017","2017","7021","Annual value","USD","3108","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","569","Figs","2017","2017","7021","Annual value","USD","911","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","406","Garlic","2017","2017","7021","Annual value","USD","1903","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","560","Grapes","2017","2017","7021","Annual value","USD","695","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1182","Honey, natural","2017","2017","7021","Annual value","USD","11182","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","407","Leeks, other alliaceous vegetables","2017","2017","7021","Annual value","USD","279","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","497","Lemons and limes","2017","2017","7021","Annual value","USD","1055","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2017","2017","7021","Annual value","USD","616","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","56","Maize","2017","2017","7021","Annual value","USD","279","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","945","Meat live weight, cattle","2017","2017","7021","Annual value","USD","3200","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1095","Meat live weight, chicken","2017","2017","7021","Annual value","USD","2470","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1033","Meat live weight, goat","2017","2017","7021","Annual value","USD","2192","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1056","Meat live weight, pig","2017","2017","7021","Annual value","USD","2962","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1013","Meat live weight, sheep","2017","2017","7021","Annual value","USD","2181","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1088","Meat live weight, turkey","2017","2017","7021","Annual value","USD","5422","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","568","Melons, other (inc.cantaloupes)","2017","2017","7021","Annual value","USD","432","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","882","Milk, whole fresh cow","2017","2017","7021","Annual value","USD","350","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1020","Milk, whole fresh goat","2017","2017","7021","Annual value","USD","461","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","982","Milk, whole fresh sheep","2017","2017","7021","Annual value","USD","666","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","234","Nuts nes","2017","2017","7021","Annual value","USD","3541","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","75","Oats","2017","2017","7021","Annual value","USD","322","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","260","Olives","2017","2017","7021","Annual value","USD","1607","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","403","Onions, dry","2017","2017","7021","Annual value","USD","298","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","402","Onions, shallots, green","2017","2017","7021","Annual value","USD","639","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","490","Oranges","2017","2017","7021","Annual value","USD","455","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","534","Peaches and nectarines","2017","2017","7021","Annual value","USD","503","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","521","Pears","2017","2017","7021","Annual value","USD","729","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","417","Peas, green","2017","2017","7021","Annual value","USD","628","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","536","Plums and sloes","2017","2017","7021","Annual value","USD","510","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","116","Potatoes","2017","2017","7021","Annual value","USD","282","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","394","Pumpkins, squash and gourds","2017","2017","7021","Annual value","USD","627","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","523","Quinces","2017","2017","7021","Annual value","USD","689","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","71","Rye","2017","2017","7021","Annual value","USD","500","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","236","Soybeans","2017","2017","7021","Annual value","USD","539","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","373","Spinach","2017","2017","7021","Annual value","USD","563","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","267","Sunflower seed","2017","2017","7021","Annual value","USD","965","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","495","Tangerines, mandarins, clementines, satsumas","2017","2017","7021","Annual value","USD","517","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","826","Tobacco, unmanufactured","2017","2017","7021","Annual value","USD","3073","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","388","Tomatoes","2017","2017","7021","Annual value","USD","476","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","567","Watermelons","2017","2017","7021","Annual value","USD","192","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","15","Wheat","2017","2017","7021","Annual value","USD","277","","Official data"
